59558bdf76d3133fd09cc492,0,0,,8.78E+17,,0,"So, about this rain outside...",SubtleWav
59558c0e76d3133fd09cc9b3,1,0,,8.77E+17,,0,Blame it on the rain ... https:// twitter.com/Nate_Cohn/stat us/877209066749267968 …,cpreston
59558b5c76d3133fd09cb6c8,4,0,,8.79E+17,,0,"""Noah! Plans for Pride?"" ""I was hoping for rain ."" pic.twitter.com/lflTip9mcc",NoahTsika
59556f1f76d3131f588e1c38,0,1,#gawx #weather,8.78E+17,,0,"Flash Flood Watch in effect from 2 PM in Towns, Union, Walker, Walton, White and Whitfield Counties #gawx #weather http://www. simpleweatheralert.com/cgi-bin/weathe rdetail.py?l=GA125856D2C63C.FlashFloodWatch.125856F02240GA.FFCFFAFFC.1a3ff2cb0294a9554bb040009cce81c3&a=013&t=1 …",SimpleWeatherGA
59558b9d76d3133fd09cbdd5,0,0,#IndieMusic #Podcast,8.78E+17,,0,Overlord - Mission To Mars http:// rdo.to/DB313 #IndieMusic #Podcast,RainMusicNet
59557e6676d3134350913396,0,1,,8.79E+17,,0,CTP issues Area Forecast Discussion (AFD) https:// mesonet.agron.iastate.edu/p.php?pid=2017 06241801-KCTP-FXUS61-AFDCTP …,DrBinaryWeather
59558b9276d3133fd09cbc70,0,0,,8.78E+17,,0,"Rain skirted us, so I'm out and about in the humidity! Yippee.",RedHeadedGurl
59558b7576d3133fd09cb988,0,0,#weekendvibes #theweatheroutsideisfrightful #rainraingoaway #funnygirl,8.79E+17,,0,Don't Rain on my Parade! #weekendvibes #theweatheroutsideisfrightful #rainraingoaway #funnygirl … https://www. instagram.com/p/BVuHpFLAO5w/,suozzman
59557dab76d3133d48bd53ad,0,1,,8.78E+17,,0,ALY continues Severe Thunderstorm Warning for Litchfield [CT] till 4:30 PM EDT https:// mesonet.agron.iastate.edu/vtec/f/2017-O- CON-KALY-SV-W-0063 …,DrBinaryWeather
59558c0376d3133fd09cc8c3,0,0,#IndieMusic #Podcast,8.77E+17,,0,Somehow Sorry - Popular View http:// rdo.to/DB313 #IndieMusic #Podcast,RainMusicNet
59558b9d76d3133fd09cbddb,2,0,#prince #purplerain #remastered #art #artwork #artist #graphicdesign,8.78E+17,,0,Purple Rain . . . . . #prince #purplerain #remastered #art #artwork #artist #graphicdesign … https://www. instagram.com/p/BVsbX_6lO2R/,zoolor
595574e276d3131b30a6e8f2,0,1,,8.78E+17,,0,Tropical Storm Watch: Emergency Management Monitoring Storm To Gauge Impact On Houston Area http:// dlvr.it/PP0ft6 pic.twitter.com/SNRMGS7BOO,MoCoPatch
59558bc176d3133fd09cc1b4,0,0,,8.78E+17,,0,Good morning from singing in the rain,YwalkWhenUcnFLY
5955784a76d31321a41f42d8,10,1,,8.77E+17,,6,"Severe weather returns Wednesday, with the potential for large hail, damaging winds, and… http://www. iowachase.com/large-hail-dam aging-winds-possible-tornadoes-wednesday/ … pic.twitter.com/p8qCOreACA",IAStormChasing
59558b6876d3133fd09cb7c3,0,0,#IndieMusic #Podcast,8.79E+17,,0,KickBend & Jessica Robinson - Taken http:// rdo.to/DB313 #IndieMusic #Podcast,RainMusicNet
59558b7276d3133fd09cb918,0,0,,8.79E+17,,1,This rain feels therapeutic,La_Tina___
5955882276d3134894358100,3,1,#Cindy,8.77E+17,,1,Eye see your... exposed center limiting convection and potential development #Cindy pic.twitter.com/WXr3M2chno,TerpWeather
